# Korea Ownership Ledger — substantial-shareholding filings — SeoulMarkets (https://seoulmarkets.com/data/ownership)
# 🔓 THIS IS A FREE SAMPLE: the 100 most recently filed rows.
#   The full ledger covers 21,785 filings. Same columns, same method.
#   The full file and the query API are the licensed product: https://seoulmarkets.com/data
# built: 2026-09-11
ticker,name_en,name_ko,filing_id,filed_on,filing_kind,holder_name,shares_held,shares_change,stake_pct,stake_change_pct,related_party_shares,related_party_pct,reason_raw_ko
084870,"TBH GLOBAL CO.,LTD",(주)티비에이치글로벌,20260907000043,2026-09-07,general,우종완,10522886,43540,51.44,0.22,0,0,"- 특별관계자의 보유 주식수 변동
- 특별관계 해소"
051780,"CUROHOLDINGS Co., Ltd.",(주)큐로홀딩스,20260907000190,2026-09-07,general,케이파트너스,4697523,6324,61.8,0.08,1608344,21.16,특수관계인의 주식 매입 및 주식근질권설정변경계약 체결
089030,"Techwing, Inc.",(주)테크윙,20260907000214,2026-09-07,abbreviated,ManulifeInvestmentManagement(HongKong)Limited,2514814,493339,6.79,1.33,,,- 장내에서 단순투자목적으로 발행회사의 주식 매수
288980,"Moadata Co., Ltd.",(주)모아데이타,20260907000321,2026-09-07,general,한상진,2288434,-1250903,6.29,-3.44,2235641,6.14,"기한의 이익 상실에 따른 담보권 실행,
반대매매에 따른 장내 매도  및 주식담보계약 변경"
381970,"K Car Co., Ltd.",케이카 주식회사,20260907000231,2026-09-07,general,KG스틸,25642810,10000,52.52,0.02,19225720,39.38,"- 주식매매계약의 거래종결에 따른 주식의 보유형태 
   변경(보유에서 소유로의 변경)
- 특별관계자 추가"
381970,"K Car Co., Ltd.",케이카 주식회사,20260907000253,2026-09-07,general,케이모빌리티밸류업,9612860,0,19.69,0,9612860,19.69,주식매매거래 종결
451220,"IMT Co., Ltd.",(주)아이엠티,20260907000317,2026-09-07,abbreviated,씨스퀘어자산운용,749746,-82524,8.42,-1.14,,,"전환사채 매수 및 신주인수권부사채권 조기상환에
따른보유비율 변동"
429270,"Sigetronics, Inc.",주식회사 시지트로닉스,20260907000229,2026-09-07,general,심규환,1314022,-322886,20.37,-5.01,,,보유주식 매도
215200,MegaStudyEdu Co. Ltd,메가스터디교육(주),20260907000264,2026-09-07,general,손주은,4244384,3000,40.95,0.03,338674,3.27,"보유주식등에 관한 계약변경, 주식매수선택권 부여"
047050,POSCO INTERNATIONAL,(주)포스코인터내셔널,20260907000183,2026-09-07,general,POSCO홀딩스,87984395,-36434963,50.01,-20.71,,,보유주식등의 수 변동
043150,"ValueAddedTechnologyCo.,Ltd.",(주)바텍,20260907000270,2026-09-07,abbreviated,SwedbankRoburFonderAB,448900,-301600,3.02,-2.03,,,장내에서 발행회사 주식 매도
001230,"DONGKUK HOLDINGS CO.,LTD.",동국홀딩스(주),20260907000171,2026-09-07,general,장세주,100112685,5000,64.38,0.01,244800,0.16,- 주식취득(장내매수)으로 인한 특별관계자 변동
002020,KOLON CORPORATION,(주)코오롱,20260907000303,2026-09-07,general,이웅열,7021638,0,52.38,0,5340143,39.83,- 보고자의 주식담보계약 체결
227950,"N2TECH CO.,LTD",(주)엔투텍,20260907000225,2026-09-07,general,몬타나 신기술조합 제72호,15880012,0,46.02,0,500000,1.45,기체결된 주식담보대출의 일부 상환에 따른 담보제공 주식 수 변경
058650,SEAH HOLDINGS CORP,(주)세아홀딩스,20260907000298,2026-09-07,general,이태성,3150327,0,77.69,3.43,1407894,34.72,"(주)세아홀딩스의 자기주식 소각에 따른 지분율 변동,
보고자의 주식담보대출 계약연장에 따른 변경 보고"
160190,"HIGEN RNM CO., LTD",하이젠알앤엠 주식회사,20260907000192,2026-09-07,abbreviated,미래에셋자산운용,1585332,81102,5.13,0.26,,,신규
004710,"Hansol Technics Co., Ltd",한솔테크닉스(주),20260907000191,2026-09-07,abbreviated,미래에셋자산운용,2712885,191293,5.11,0.36,,,신규
022100,POSCO DX COMPANY LTD.,(주)포스코디엑스,20260907000194,2026-09-07,general,POSCO홀딩스,76017365,-23385917,50,-15.38,,,보유주식등의 수 변동
033780,KT&G Corporation,(주)케이티앤지,20260907000176,2026-09-07,abbreviated,GICPrivateLimited,4172606,-2204347,4.019,-1.014,,,보유비율 1% 이상에 대한 변동보고
034220,"LG Display Co., Ltd.",엘지디스플레이(주),20260907000090,2026-09-07,abbreviated,BlackRockFundAdvisors,18356568,-17425531,3.67,-3.49,,,보유비율 및 특별관계자 변동
079810,"APS Innovation Co., Ltd.",APS이노베이션 주식회사,20260907000221,2026-09-07,general,APS,5423430,336924,25.19,1.56,,,보고자의 장내매수
036120,Seoul Information Service Inc.,서울평가정보(주),20260907000309,2026-09-07,general,진원홀딩스컴퍼니,20376917,-818,57.98,0.58,,,"장내 매도, 특별관계 추가/해소"
178320,"SEOJIN SYSTEM CO.,LTD",(주)서진시스템,20260907000312,2026-09-07,general,전동규,13019430,0,20.43,-0.02,9740391,15.29,"주식담보대출 추가 및 연장, 담보제공 주식 수 변동 등"
100090,"SK oceanplant Co.,Ltd",에스케이오션플랜트(주),20260904000546,2026-09-07,general,디오션자산운용,22256969,22256969,35.62,35.62,22256969,35.62,장외 주식매매계약 체결
120110,"KOLON INDUSTRIES, INC.",코오롱인더스트리(주),20260907000307,2026-09-07,general,코오롱,10918076,0,34.89,0,319209,1.02,- 특별관계자의 주식담보계약 체결
351320,"Nexa Dynamics Co., Ltd.",(주)넥사다이내믹스,20260907000326,2026-09-07,abbreviated,세종메디칼,1514867,1514867,5.15,5.15,,,5% 이상 보유에 따른 공시의무 발생
351320,"Nexa Dynamics Co., Ltd.",(주)넥사다이내믹스,20260907000330,2026-09-07,abbreviated,세종메디칼,937500,-577367,3.03,-2.12,,,전환사채 매도에 따른 1% 이상 변동
010580,"SM BEXEL CO.,LTD",(주)에스엠벡셀,20260907000145,2026-09-07,general,에스엠하이플러스,99027883,45500,89.01,0.04,,,보고자 본인 에스엠하이플러스(주)의 장내매수
006840,"AK Holdings, Inc.",AK홀딩스(주),20260907000283,2026-09-07,general,채형석,8640448,0,65.22,0,2635000,19.89,- 특별관계자 보유주식수등에 관한 계약(담보계약) 변경
376300,"DEAR U Co.,Ltd.",주식회사 디어유,20260907000282,2026-09-07,general,안종오,1397254,0,5.87,0,432458,1.82,주식담보대출 계약의 변경
347860,Alchera Inc.,주식회사 알체라,20260907000117,2026-09-07,general,황영규,8320667,25990,18.69,0.06,5530920,13,특별관계자의 장내매수
011300,"WOOSUNG MATERIALS CO.,LTD",(주)우성머티리얼스,20260907000285,2026-09-07,general,더블유에스,3354842,131502,19.17,0.75,2000000,11.6,특별관계자 주식수 변동
205100,"EXEM CO., LTD.",(주)엑셈,20260907000045,2026-09-07,general,조종암,26710834,75000,39.55,1.87,2921062,4.32,"보고자의 주식담보대출 상환 및 신규 계약 및 장내 매수
자기주식 소각으로 인한 발행주식총수 변동
(이전 면제사유로 인한 미신고분 보고)"
028300,"HLB Co.,LTD.",에이치엘비(주),20260907000092,2026-09-07,abbreviated,BlackRockFundAdvisors,4492425,-5033460,3.37,-3.78,,,보유비율 변동
386380,Sky Labs Inc.,주식회사 스카이랩스,20260907000156,2026-09-07,abbreviated,한국산업은행,1409987,1409987,7.51,7.51,,,코스닥 신규 상장에 따른 신규 보고
138040,MERITZ FINANCIAL GROUP INC.,(주)메리츠금융지주,20260904000488,2026-09-04,general,조정호,98379561,7883,58.79,0.01,,,특별관계자 변동
900270,HENG SHENG HOLDING GROUP COMPANY LIMITED,헝셩그룹유한회사,20260904000430,2026-09-04,general,후이훙위엔,7604020,1749353,61.02,6.37,,,"특별관계자의 제3자배정 유상증자
참여로 보유주식 증가"
032350,"LOTTE TOUR DEVELOPMENT CO.,LTD",롯데관광개발(주),20260904000042,2026-09-04,general,엔브이8홀딩스,2742516,-1097097,3.3,-2,,,제3자배정방식으로발행된무기명식사모전환사채의취득
021240,"COWAY Co., Ltd.",코웨이(주),20260904000485,2026-09-04,general,넷마블,19578248,845502,27.67,1.2,,,보유주식수 변동
003960,SAJODAERIM CORPORATION,(주)사조대림,20260904000338,2026-09-04,general,사조산업,7051131,1900,76.93,0.01,430731,4.7,특별관계자의 수 및  보유주식 변동(1% 이상)
058730,"Development  Advance Solution Co., Ltd.",다스코(주),20260904000457,2026-09-04,general,한상원,7200969,0,35.56,-0.54,1786900,8.82,특별관계자 주식담보계약 변경
005950,"ISU CHEMICAL CO.,LTD",(주)이수화학                             ,20260904000420,2026-09-04,general,이수,9924353,0,37.74,0,4281784,16.28,보유주식에 관한 계약내용 변경 (차입금 연장 및 담보 수량 변경)
033160,MKElectron,엠케이전자(주),20260904000394,2026-09-04,general,오션비홀딩스,7818045,0,32.86,-0.57,6066522,25.5,보고자의 보유주식등에 관한 계약 변경
418420,RAONTECH INC.,주식회사 라온텍,20260904000182,2026-09-04,general,김보은,8482295,-40000,27.56,-0.13,869566,2.83,- 증여
241770,"MECARO.CO.,LTD.",(주)메카로,20260904000303,2026-09-04,general,이재정,5403799,0,53.02,0,377908,3.71,보고자와 특별관계자 간의 증여에 따른 보고
381970,"K Car Co., Ltd.",케이카 주식회사,20260904000434,2026-09-04,general,한앤코오토서비스홀딩스,0,-35255670,0,-72.21,,,"- 주식매매계약 거래 종결에 따른 보고자의 보유주식 전량 처분
- 주식매매계약 거래 종결에 따른 특별관계 해소
- 보유주식등에 대한 주요계약 해지
- 보유비율 5% 미만에 따른 폐지 보고 "
338220,"VUNO, Inc.",주식회사 뷰노,20260904000368,2026-09-04,general,이예하,2183412,-4200,15.59,-0.03,220000,1.57,"임원 변동으로 인한 특별관계자 추가/해소,
주식담보대출 갱신에 따른 변경신고"
396300,"SeA Mechanics Co., LTD",(주)세아메카닉스,20260904000469,2026-09-04,general,에이치티아이엔티,12317286,97158,45.99,0.37,774194,2.89,신규 질권 설정 및 특별관계자 장내매수로 인한 변동보고
226400,"OSTEONIC Co., Ltd.",(주)오스테오닉,20260904000386,2026-09-04,general,이동원,4380142,0,21.2,0,3337167,16.15,"주식담보대출의 연장, 상환, 신규으로 인한 변경  "
454910,Doosan Robotics Inc.,두산로보틱스 주식회사,20260904000401,2026-09-04,general,두산,32394277,0,49.98,0,10720000,16.54,계약 내용의 변경
030530,"WONIK HOLDINGS CO.,LTD.",(주)원익홀딩스,20260904000243,2026-09-04,general,원익,37227270,0,48.2,0,9500000,12.29,변경 - 주식담보대출 만기연장
448900,"PIM KOREA Co.,Ltd.",한국피아이엠(주),20260903000397,2026-09-04,general,송준호,2818421,0,46.4,0,41353,0.68,보고자의 주식담보대출 내용변경
