name,slug,wikipedia_page,born,charting_titles,chart_places,countries
Kim Hyang-gi,kim-hyang-gi,Kim Hyang-gi,2000-08-09,4,158,52
Kim Ji-soo,kim-ji-soo,"Kim Ji-soo (actress, born 1972)",,2,158,40
Bae Seong-woo,bae-seong-woo,Bae Seong-woo,1972-11-21,7,157,69
Ko A-sung,ko-a-sung,Go Ah-sung,1992-08-10,2,157,64
Seo Eun-soo,seo-eun-soo,Seo Eun-soo,1994-03-02,4,154,55
Lee Soo-kyung,lee-soo-kyung,"Lee Soo-kyung (actress, born 1996)",,3,153,61
Choi Hyun-wook,choi-hyun-wook,Choi Hyun-wook,2002-01-30,3,151,60
Kim Hee-won,kim-hee-won,Kim Hee-won,1971-01-10,4,151,52
Yang Dong-geun,yang-dong-geun,Yang Dong-geun,1979-06-01,3,150,64
Kim So-yeon,kim-so-yeon,Kim So-yeon,1980-11-02,4,148,27
Song Jae-lim,song-jae-lim,Song Jae-rim,1985-02-18,2,144,61
Jeong Soon-won,jeong-soon-won,Jeong Soon-won,,3,142,76
Han Suk-kyu,han-suk-kyu,Han Suk-kyu,,6,140,46
Kim Sung-cheol,kim-sung-cheol,Kim Sung-cheol,1991-12-31,2,140,18
Kim Sung-ryung,kim-sung-ryung,Kim Sung-ryung,1967-02-08,3,140,36
Uhm Jeong-hwa,uhm-jeong-hwa,Uhm Jung-hwa,1969-08-17,4,140,17
